trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
1,2026-01-07 13:00:00-05:00,2026-01-08 15:00:00-05:00,short,4458.6001,4484.9081,4483.9081,4416.9841,-26.308,-30.308,-1.1976,overlap,3.0,1.0,4.0,26.5,27.6001,25,sl,0.7
2,2026-01-09 00:00:00-05:00,2026-01-09 10:00:00-05:00,long,4476.5,4520.265,4454.1175,4521.265,43.765,39.765,1.7766,asian,3.0,1.0,4.0,2.0,45.0,10,tp,0.7
3,2026-01-15 05:00:00-05:00,2026-01-16 10:00:00-05:00,short,4621.2002,4578.9582,4647.3212,4577.9582,42.242,38.242,1.464,asian,3.0,1.0,4.0,2.1997,46.4004,28,tp,0.7
4,2026-01-20 01:00:00-05:00,2026-01-20 14:00:00-05:00,long,4718.6001,4764.7861,4695.0071,4765.7861,46.186,42.186,1.7881,asian,3.0,1.0,4.0,0.0,47.2998,13,tp,0.7
5,2026-01-30 00:00:00-05:00,2026-01-30 03:00:00-05:00,short,5209.3999,5161.2759,5238.4619,5160.2759,48.124,44.124,1.5183,asian,3.0,1.0,4.0,0.0,64.3999,3,tp,0.7
6,2026-02-04 01:00:00-05:00,2026-02-04 07:00:00-05:00,long,5096.6001,5070.1171,5071.1171,5147.5661,-26.483,-30.483,-1.1962,asian,3.0,1.0,4.0,32.0,10.1997,6,sl,0.7
7,2026-02-05 01:00:00-05:00,2026-02-05 04:00:00-05:00,short,4935.7998,4890.4118,4963.4938,4889.4118,45.388,41.388,1.4945,asian,3.0,1.0,4.0,0.0,58.8999,3,tp,0.7
8,2026-02-06 15:00:00-05:00,2026-02-08 18:00:00-05:00,long,4977.2002,5025.9722,4952.3142,5026.9722,48.772,44.772,1.7991,overlap,3.0,1.0,4.0,0.0,80.1997,2,tp,0.7
9,2026-02-12 12:00:00-05:00,2026-02-12 20:00:00-05:00,short,4958.5,4987.3075,4986.3075,4911.885,-28.8075,-32.8075,-1.1798,overlap,3.0,1.0,4.0,41.2998,23.3999,7,sl,0.7
10,2026-02-18 14:00:00-05:00,2026-02-20 05:00:00-05:00,long,5000.7002,5049.7072,4975.6967,5050.7072,49.007,45.007,1.8,overlap,3.0,1.0,4.0,20.5,53.8999,37,tp,0.7
11,2026-02-24 15:00:00-05:00,2026-02-25 00:00:00-05:00,short,5178.7998,5208.7088,5207.7088,5129.9818,-29.909,-33.909,-1.173,overlap,3.0,1.0,4.0,42.4004,18.2998,8,sl,0.7
12,2026-02-25 12:00:00-05:00,2026-02-25 15:00:00-05:00,long,5226.5,5199.3675,5200.3675,5278.765,-27.1325,-31.1325,-1.1913,overlap,3.0,1.0,4.0,56.6001,0.0,3,sl,0.7
13,2026-02-26 18:00:00-05:00,2026-02-27 08:00:00-05:00,short,5197.8999,5227.9044,5226.9044,5148.8909,-30.0045,-34.0045,-1.1724,new_york,3.0,1.0,4.0,42.8999,6.2998,14,sl,0.7
14,2026-02-27 08:00:00-05:00,2026-03-01 18:00:00-05:00,long,5240.7998,5292.2078,5214.5958,5293.2078,51.408,47.408,1.8092,london,3.0,1.0,4.0,0.0,159.6001,9,tp,0.7
15,2026-03-03 08:00:00-05:00,2026-03-03 09:00:00-05:00,short,5163.5,5115.835,5192.3325,5114.835,47.665,43.665,1.5144,london,3.0,1.0,4.0,0.0,115.5,1,tp,0.7
16,2026-03-05 06:00:00-05:00,2026-03-05 08:00:00-05:00,long,5174.7998,5147.9258,5148.9258,5226.5478,-26.874,-30.874,-1.1932,asian,3.0,1.0,4.0,48.2998,0.0,2,sl,0.7
17,2026-03-05 13:00:00-05:00,2026-03-05 20:00:00-05:00,short,5074.6001,5103.9881,5102.9881,5026.8241,-29.388,-33.388,-1.1761,overlap,3.0,1.0,4.0,67.5,0.0,6,sl,0.7
18,2026-03-09 05:00:00-04:00,2026-03-09 09:00:00-04:00,long,5114.2998,5087.7283,5088.7283,5165.4428,-26.5715,-30.5715,-1.1955,asian,3.0,1.0,4.0,32.7998,0.0,7,sl,0.7
19,2026-03-09 21:00:00-04:00,2026-03-09 23:00:00-04:00,long,5193.2002,5166.2342,5167.2342,5245.1322,-26.966,-30.966,-1.1926,new_york,3.0,1.0,4.0,26.8003,0.0,2,sl,0.7
20,2026-03-11 19:00:00-04:00,2026-03-11 21:00:00-04:00,short,5137.0,5166.7,5165.7,5088.6,-29.7,-33.7,-1.1742,new_york,3.0,1.0,4.0,37.3999,0.0,2,sl,0.7
21,2026-03-17 13:00:00-04:00,2026-03-18 06:00:00-04:00,long,5007.0,4980.965,4981.965,5057.07,-26.035,-30.035,-1.1997,overlap,3.0,1.0,4.0,35.2998,6.7998,23,sl,0.7
22,2026-03-24 18:00:00-04:00,2026-03-24 19:00:00-04:00,long,4487.7002,4531.5772,4465.2617,4532.5772,43.877,39.877,1.7772,new_york,3.0,1.0,4.0,0.0,61.5,1,tp,0.7
23,2026-03-26 08:00:00-04:00,2026-03-26 09:00:00-04:00,short,4423.7998,4449.9338,4448.9338,4382.5318,-26.134,-30.134,-1.1989,london,3.0,1.0,4.0,26.3003,0.0,1,sl,0.7
24,2026-03-27 15:00:00-04:00,2026-03-30 23:00:00-04:00,long,4543.1001,4583.8999,4520.3846,4588.5311,40.7998,36.7998,1.62,overlap,3.0,1.0,4.0,0.0,0.0,0,end_of_data,0.7
