trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
1,2026-01-11 18:00:00-05:00,2026-01-12 08:00:00-05:00,long,4550.1001,4610.5143,4519.393,4611.5143,60.4142,56.4142,1.8372,new_york,3.0,1.0,4.0,0.0,76.1997,14,tp,0.65
2,2026-01-16 10:00:00-05:00,2026-01-18 23:00:00-05:00,short,4571.7998,4605.4248,4604.4248,4515.5498,-33.625,-37.625,-1.1533,london,3.0,1.0,4.0,99.4004,0.0,7,sl,0.65
3,2026-01-18 23:00:00-05:00,2026-01-20 11:00:00-05:00,long,4671.2002,4749.1431,4631.7287,4750.1431,77.9429,73.9429,1.8733,new_york,3.0,1.0,4.0,0.0,86.7998,12,tp,0.65
4,2026-01-20 20:00:00-05:00,2026-01-21 14:00:00-05:00,long,4838.5,4806.5357,4807.5357,4900.4287,-31.9643,-35.9643,-1.1615,new_york,3.0,1.0,4.0,55.1001,43.7998,18,sl,0.65
5,2026-01-22 10:00:00-05:00,2026-01-22 16:00:00-05:00,long,4874.0,4933.5785,4843.7107,4934.5785,59.5785,55.5785,1.8349,london,3.0,1.0,4.0,0.0,64.3999,6,tp,0.65
6,2026-01-25 18:00:00-05:00,2026-01-27 15:00:00-05:00,long,5038.7002,5110.1717,5002.4645,5111.1717,71.4715,67.4715,1.862,new_york,3.0,1.0,4.0,33.9004,136.0,44,tp,0.65
7,2026-01-27 15:00:00-05:00,2026-01-28 01:00:00-05:00,long,5174.7002,5256.7569,5133.1718,5257.7569,82.0567,78.0567,1.8796,overlap,3.0,1.0,4.0,6.2002,88.0,9,tp,0.65
8,2026-01-28 18:00:00-05:00,2026-01-29 10:00:00-05:00,long,5539.3999,5460.9892,5461.9892,5694.2213,-78.4107,-82.4107,-1.0646,new_york,3.0,1.0,4.0,326.5,51.6001,16,sl,0.65
9,2026-01-29 10:00:00-05:00,2026-01-29 12:00:00-05:00,short,5209.8999,5320.014,5319.014,5000.6718,-110.1141,-114.1141,-1.0458,london,3.0,1.0,4.0,154.3999,0.0,2,sl,0.65
10,2026-02-02 13:00:00-05:00,2026-02-02 20:00:00-05:00,short,4676.5,4853.9214,4852.9214,4332.6571,-177.4214,-181.4214,-1.0283,overlap,3.0,1.0,4.0,186.2002,0.2002,6,sl,0.65
11,2026-02-04 21:00:00-05:00,2026-02-05 01:00:00-05:00,short,4828.0,4931.1714,4930.1714,4632.6571,-103.1714,-107.1714,-1.0489,new_york,3.0,1.0,4.0,110.7998,0.0,4,sl,0.65
12,2026-02-08 18:00:00-05:00,2026-02-08 20:00:00-05:00,long,5057.3999,5004.7464,5005.7464,5160.707,-52.6535,-56.6535,-1.0968,new_york,3.0,1.0,4.0,55.1001,0.0,2,sl,0.65
13,2026-02-12 11:00:00-05:00,2026-02-13 11:00:00-05:00,short,4973.2998,5029.339,5028.339,4872.2214,-56.0392,-60.0392,-1.0908,london,3.0,1.0,4.0,56.7002,38.1997,23,sl,0.65
14,2026-02-17 00:00:00-05:00,2026-02-18 07:00:00-05:00,short,4903.8999,4961.0857,4960.0857,4800.5284,-57.1858,-61.1858,-1.089,asian,3.0,1.0,4.0,59.6001,27.0,30,sl,0.65
15,2026-02-18 07:00:00-05:00,2026-02-18 11:00:00-05:00,long,4963.5,5020.1002,4934.6999,5021.1002,56.6002,52.6002,1.8264,london,3.0,1.0,4.0,0.0,57.7002,6,tp,0.65
16,2026-02-22 18:00:00-05:00,2026-02-24 08:00:00-05:00,long,5187.2002,5134.3966,5135.3966,5290.8073,-52.8036,-56.8036,-1.0965,new_york,3.0,1.0,4.0,54.9004,68.3999,52,sl,0.65
17,2026-02-27 08:00:00-05:00,2026-03-01 18:00:00-05:00,long,5240.7998,5294.4426,5213.4784,5295.4426,53.6428,49.6428,1.817,london,3.0,1.0,4.0,0.0,159.6001,9,tp,0.65
18,2026-03-01 18:00:00-05:00,2026-03-01 20:00:00-05:00,long,5400.3999,5348.1535,5349.1535,5502.8926,-52.2464,-56.2464,-1.0976,new_york,3.0,1.0,4.0,62.1001,0.0,2,sl,0.65
19,2026-03-03 06:00:00-05:00,2026-03-03 07:00:00-05:00,short,5151.0,5229.0572,5228.0572,5005.8857,-78.0572,-82.0572,-1.0649,asian,3.0,1.0,4.0,83.5,0.0,1,sl,0.65
