trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
1,2026-01-15 05:00:00-05:00,2026-01-15 07:00:00-05:00,short,4621.2002,4619.2002,4628.7002,4618.2002,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,2.1997,3.3003,3,tp,0.0121
2,2026-01-15 07:00:00-05:00,2026-01-15 08:00:00-05:00,short,4614.8999,4612.8999,4622.3999,4611.8999,2.0,-2.0,-0.2667,london,3.0,1.0,4.0,0.0,23.2998,1,tp,0.1373
3,2026-01-15 16:00:00-05:00,2026-01-15 19:00:00-05:00,short,4617.5,4615.5,4625.0,4614.5,2.0,-2.0,-0.2667,new_york,3.0,1.0,4.0,0.0,13.1001,2,tp,0.1065
4,2026-01-18 23:00:00-05:00,2026-01-20 00:00:00-05:00,short,4668.2002,4676.7002,4675.7002,4665.2002,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,52.3999,0.0,1,sl,0.0584
5,2026-01-20 00:00:00-05:00,2026-01-20 03:00:00-05:00,short,4717.6001,4726.1001,4725.1001,4714.6001,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,18.0,0.0,6,sl,0.5767
6,2026-01-20 03:00:00-05:00,2026-01-20 08:00:00-05:00,short,4732.6001,4741.1001,4740.1001,4729.6001,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,9.6997,0.3003,15,sl,0.6649
7,2026-01-20 08:00:00-05:00,2026-01-20 11:00:00-05:00,short,4739.2998,4747.7998,4746.7998,4736.2998,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,18.7002,0.0,6,sl,0.1859
8,2026-01-20 11:00:00-05:00,2026-01-20 12:00:00-05:00,short,4755.0,4763.5,4762.5,4752.0,-8.5,-12.5,-1.6667,london,3.0,1.0,4.0,8.7002,0.0,1,sl,0.1457
9,2026-01-20 12:00:00-05:00,2026-01-20 16:00:00-05:00,short,4760.7002,4769.2002,4768.2002,4757.7002,-8.5,-12.5,-1.6667,overlap,3.0,1.0,4.0,8.3999,0.0,10,sl,0.1888
10,2026-01-20 16:00:00-05:00,2026-01-20 18:00:00-05:00,short,4766.1001,4774.6001,4773.6001,4763.1001,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,13.6997,0.0,1,sl,0.3439
11,2026-01-20 18:00:00-05:00,2026-01-20 19:00:00-05:00,short,4776.7998,4785.2998,4784.2998,4773.7998,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,12.8003,0.0,1,sl,0.4027
12,2026-01-20 19:00:00-05:00,2026-01-20 20:00:00-05:00,short,4786.6001,4795.1001,4794.1001,4783.6001,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,51.8999,0.0,1,sl,0.6183
13,2026-01-20 20:00:00-05:00,2026-01-20 22:00:00-05:00,short,4835.5,4844.0,4843.0,4832.5,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,12.1001,0.0,3,sl,0.6851
14,2026-01-20 22:00:00-05:00,2026-01-20 23:00:00-05:00,short,4844.6001,4853.1001,4852.1001,4841.6001,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,22.8999,0.0,1,sl,0.6887
15,2026-01-20 23:00:00-05:00,2026-01-21 00:00:00-05:00,short,4864.5,4873.0,4872.0,4861.5,-8.5,-12.5,-1.6667,new_york,3.0,1.0,4.0,7.8999,0.0,1,sl,0.707
16,2026-01-21 01:00:00-05:00,2026-01-21 02:00:00-05:00,short,4847.2002,4855.7002,4854.7002,4844.2002,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,10.2998,0.0,1,sl,0.3957
17,2026-01-21 02:00:00-05:00,2026-01-21 04:00:00-05:00,short,4854.5,4863.0,4862.0,4851.5,-8.5,-12.5,-1.6667,asian,3.0,1.0,4.0,7.8999,0.0,3,sl,0.3844
