trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
1,2026-02-03 08:00:00-05:00,2026-02-03 19:00:00-05:00,long,4958.0,4999.3982,4930.2679,4999.5982,41.3982,40.6982,1.4675,london,0.5,0.2,0.7,27.5,80.1001,26,tp,0.7071
2,2026-02-04 04:00:00-05:00,2026-02-04 09:00:00-05:00,short,5081.7998,5049.8266,5104.0819,5049.6266,31.9732,31.2732,1.4035,asian,0.5,0.2,0.7,0.0,73.3999,5,tp,0.7337
3,2026-02-04 15:00:00-05:00,2026-02-04 18:00:00-05:00,long,4961.6001,5000.7215,4935.3858,5000.9215,39.1214,38.4214,1.4657,overlap,0.5,0.2,0.7,0.0,71.7998,2,tp,0.6404
4,2026-02-04 21:00:00-05:00,2026-02-04 22:00:00-05:00,short,4830.5,4864.2571,4864.0571,4781.4143,-33.7571,-34.4571,-1.0268,new_york,0.5,0.2,0.7,68.0,0.0,1,sl,0.7381
5,2026-02-05 02:00:00-05:00,2026-02-05 04:00:00-05:00,long,4934.2998,4903.3819,4903.5819,4980.3766,-30.9179,-31.6179,-1.0293,asian,0.5,0.2,0.7,57.3999,0.0,2,sl,0.85
6,2026-02-05 06:00:00-05:00,2026-02-05 10:00:00-05:00,short,4888.6001,4843.8983,4919.368,4843.6983,44.7018,44.0018,1.4301,asian,0.5,0.2,0.7,0.0,50.0,4,tp,0.771
7,2026-02-05 10:00:00-05:00,2026-02-05 11:00:00-05:00,short,4838.1001,4871.8323,4871.6323,4789.0519,-33.7322,-34.4322,-1.0268,london,0.5,0.2,0.7,73.8999,0.0,1,sl,0.85
8,2026-02-05 16:00:00-05:00,2026-02-05 18:00:00-05:00,short,4797.6001,4757.3929,4825.3715,4757.1929,40.2071,39.5071,1.4226,new_york,0.5,0.2,0.7,0.0,75.6001,1,tp,0.85
9,2026-02-05 22:00:00-05:00,2026-02-06 00:00:00-05:00,long,4841.1001,4891.4608,4807.393,4891.6608,50.3607,49.6607,1.4733,new_york,0.5,0.2,0.7,9.2002,74.1997,2,tp,0.6101
10,2026-02-06 03:00:00-05:00,2026-02-06 08:00:00-05:00,long,4884.7998,4932.3159,4852.9891,4932.5159,47.5161,46.8161,1.4717,asian,0.5,0.2,0.7,0.0,66.2002,8,tp,0.63
11,2026-02-08 21:00:00-05:00,2026-02-09 00:00:00-05:00,long,5026.6001,5055.093,5007.4715,5055.293,28.4929,27.7929,1.4529,new_york,0.5,0.2,0.7,0.0,31.3999,5,tp,0.6548
12,2026-02-09 01:00:00-05:00,2026-02-09 02:00:00-05:00,long,5052.3999,5035.1392,5035.3392,5077.991,-17.2607,-17.9607,-1.0528,asian,0.5,0.2,0.7,25.1997,0.0,1,sl,0.85
13,2026-02-09 05:00:00-05:00,2026-02-09 06:00:00-05:00,short,5010.7998,5030.2427,5030.0427,4983.1855,-19.4429,-20.1429,-1.0468,asian,0.5,0.2,0.7,20.3003,0.0,1,sl,0.7638
14,2026-02-09 08:00:00-05:00,2026-02-09 09:00:00-05:00,short,5028.3999,5046.0928,5045.8928,5003.4106,-17.6929,-18.3929,-1.0514,london,0.5,0.2,0.7,31.2002,0.0,1,sl,0.6412
15,2026-02-09 09:00:00-05:00,2026-02-09 11:00:00-05:00,long,5059.6001,5085.1358,5042.4429,5085.3358,25.5357,24.8357,1.4475,london,0.5,0.2,0.7,0.0,37.2998,2,tp,0.6992
16,2026-02-09 19:00:00-05:00,2026-02-09 21:00:00-05:00,short,5042.1001,5059.5608,5059.3608,5017.459,-17.4607,-18.1607,-1.0521,new_york,0.5,0.2,0.7,19.1001,0.0,2,sl,0.7913
17,2026-02-10 00:00:00-05:00,2026-02-10 01:00:00-05:00,long,5061.8999,5045.8249,5046.0249,5085.7124,-16.075,-16.775,-1.0567,asian,0.5,0.2,0.7,16.1001,0.0,1,sl,0.7494
18,2026-02-10 01:00:00-05:00,2026-02-10 03:00:00-05:00,short,5045.2998,5061.4677,5061.2677,5022.598,-16.1679,-16.8679,-1.0564,asian,0.5,0.2,0.7,18.5,0.0,2,sl,0.6071
19,2026-02-10 03:00:00-05:00,2026-02-10 10:00:00-05:00,long,5063.7998,5048.7641,5048.9641,5086.0534,-15.0357,-15.7357,-1.0607,asian,0.5,0.2,0.7,22.1997,15.2002,7,sl,0.6382
20,2026-02-10 10:00:00-05:00,2026-02-10 18:00:00-05:00,short,5041.1001,5056.4358,5056.2358,5019.6465,-15.3357,-16.0357,-1.0595,london,0.5,0.2,0.7,23.0,5.1001,15,sl,0.669
21,2026-02-10 18:00:00-05:00,2026-02-11 01:00:00-05:00,long,5064.1001,5085.1519,5049.9323,5085.3519,21.0518,20.3518,1.4365,new_york,0.5,0.2,0.7,3.2002,24.1997,7,tp,0.639
22,2026-02-11 04:00:00-05:00,2026-02-11 05:00:00-05:00,long,5086.6001,5101.834,5076.3108,5102.034,15.2339,14.5339,1.4125,asian,0.5,0.2,0.7,0.0,32.0,1,tp,0.6861
23,2026-02-11 10:00:00-05:00,2026-02-11 12:00:00-05:00,short,5083.7002,5101.343,5101.143,5058.7859,-17.6428,-18.3428,-1.0516,london,0.5,0.2,0.7,32.7998,0.0,2,sl,0.7306
24,2026-02-11 13:00:00-05:00,2026-02-11 18:00:00-05:00,long,5107.3999,5088.8214,5089.0214,5134.9677,-18.5785,-19.2785,-1.049,overlap,0.5,0.2,0.7,23.8999,4.0,4,sl,0.6759
25,2026-02-11 18:00:00-05:00,2026-02-12 11:00:00-05:00,short,5083.0,5054.4554,5102.9964,5054.2554,28.5446,27.8446,1.3925,new_york,0.5,0.2,0.7,15.2002,106.7002,70,tp,0.85
26,2026-02-12 11:00:00-05:00,2026-02-12 15:00:00-05:00,short,4975.7998,4950.4802,4993.6462,4950.2802,25.3196,24.6196,1.3795,london,0.5,0.2,0.7,0.0,40.6997,4,tp,0.786
27,2026-02-12 20:00:00-05:00,2026-02-13 00:00:00-05:00,long,4999.7998,4976.4855,4976.6855,5034.4712,-23.3143,-24.0143,-1.0389,new_york,0.5,0.2,0.7,34.3999,8.2002,4,sl,0.6776
28,2026-02-13 06:00:00-05:00,2026-02-13 07:00:00-05:00,short,4972.8999,4988.3641,4988.1641,4951.2536,-15.4642,-16.1642,-1.059,asian,0.5,0.2,0.7,15.8999,0.0,1,sl,0.636
29,2026-02-13 09:00:00-05:00,2026-02-13 10:00:00-05:00,long,5017.3999,5001.5464,5001.7464,5040.8802,-15.8535,-16.5535,-1.0575,london,0.5,0.2,0.7,18.6997,0.0,1,sl,0.7071
30,2026-02-15 19:00:00-05:00,2026-02-15 22:00:00-05:00,short,5034.5,5012.1321,5050.3786,5011.9321,22.3679,21.6679,1.3646,new_york,0.5,0.2,0.7,13.1001,27.2998,5,tp,0.7784
31,2026-02-17 05:00:00-05:00,2026-02-17 08:00:00-05:00,long,4932.1001,4916.1465,4916.3465,4955.7305,-15.9536,-16.6536,-1.0571,asian,0.5,0.2,0.7,42.7002,19.5,3,sl,0.7451
32,2026-02-17 08:00:00-05:00,2026-02-17 13:00:00-05:00,short,4888.8999,4906.9606,4906.7606,4863.3588,-18.0607,-18.7607,-1.0504,london,0.5,0.2,0.7,28.8003,7.6001,5,sl,0.7493
33,2026-02-17 13:00:00-05:00,2026-02-17 15:00:00-05:00,long,4917.7002,4898.0645,4898.2645,4946.8538,-19.6357,-20.3357,-1.0463,overlap,0.5,0.2,0.7,21.0,0.0,2,sl,0.6996
34,2026-02-17 19:00:00-05:00,2026-02-17 20:00:00-05:00,short,4891.2998,4907.882,4907.682,4867.9766,-16.5821,-17.2821,-1.0549,new_york,0.5,0.2,0.7,16.7002,0.0,1,sl,0.7325
35,2026-02-17 21:00:00-05:00,2026-02-17 23:00:00-05:00,long,4923.7998,4946.9141,4908.2569,4947.1141,23.1143,22.4143,1.4421,new_york,0.5,0.2,0.7,0.0,27.8003,2,tp,0.7031
36,2026-02-18 04:00:00-05:00,2026-02-18 07:00:00-05:00,short,4937.3999,4947.1285,4946.9285,4924.357,-9.7286,-10.4286,-1.0945,asian,0.5,0.2,0.7,26.1001,4.0,3,sl,0.85
